id,event_id,occurred_at,event_value,sensor_type,sensor_id,space_id,date
1,123229,2017-01-26T09:03:58.936000+0000,active,MOTION,7,1,1/26/2017 20:03
2,123231,2017-01-26T09:04:11.783000+0000,active,TRANSIT,3,3,1/26/2017 20:04
3,123233,2017-01-26T09:04:13.222000+0000,active,TRANSIT,9,2,1/26/2017 20:04
4,123235,2017-01-26T09:04:17.968000+0000,active,MOTION,14,9,1/26/2017 20:04
5,123237,2017-01-26T09:04:20.463000+0000,active,MOTION,34,9,1/26/2017 20:04
6,123239,2017-01-26T09:04:21.903000+0000,inactive,MOTION,7,1,1/26/2017 20:04
7,123249,2017-01-26T09:04:34.171000+0000,inactive,TRANSIT,3,3,1/26/2017 20:04
8,123251,2017-01-26T09:04:35.495000+0000,inactive,TRANSIT,9,2,1/26/2017 20:04
9,123253,2017-01-26T09:04:52.859000+0000,inactive,MOTION,14,9,1/26/2017 20:04
10,123255,2017-01-26T09:04:55.546000+0000,inactive,MOTION,34,9,1/26/2017 20:04
11,123257,2017-01-26T09:04:58.451000+0000,active,MOTION,34,9,1/26/2017 20:04
12,123259,2017-01-26T09:04:59.281000+0000,active,MOTION,14,9,1/26/2017 20:04
13,123261,2017-01-26T09:05:09.802000+0000,inactive,MOTION,34,9,1/26/2017 20:05
14,123263,2017-01-26T09:05:21.116000+0000,inactive,MOTION,14,9,1/26/2017 20:05
15,123265,2017-01-26T09:05:29.018000+0000,active,MOTION,14,9,1/26/2017 20:05
16,123267,2017-01-26T09:05:32.682000+0000,active,MOTION,34,9,1/26/2017 20:05
17,123271,2017-01-26T09:05:42.216000+0000,active,TRANSIT,9,2,1/26/2017 20:05
18,123273,2017-01-26T09:05:46.157000+0000,active,MOTION,12,8,1/26/2017 20:05
19,123275,2017-01-26T09:05:55.544000+0000,inactive,MOTION,34,9,1/26/2017 20:05
20,123277,2017-01-26T09:06:04.113000+0000,inactive,MOTION,14,9,1/26/2017 20:06
21,123279,2017-01-26T09:06:04.750000+0000,inactive,TRANSIT,9,2,1/26/2017 20:06
22,123281,2017-01-26T09:06:08.352000+0000,inactive,MOTION,12,8,1/26/2017 20:06
